scope,encoder,metric,k,value,n_subjects,n_segments,n_dims,use_pca
global,eegpt,norm_entropy,6,0.06085651538910244,200,74540,2048,False
global,eegpt,norm_entropy,7,0.059395192201578385,200,74540,2048,False
global,eegpt,norm_entropy,8,0.062453511815752046,200,74540,2048,False
global,eegpt,norm_entropy,9,0.07535844760613115,200,74540,2048,False
global,eegpt,norm_entropy,10,0.07277981383328687,200,74540,2048,False
global,eegpt,norm_entropy,11,0.08315941078912636,200,74540,2048,False
global,eegpt,norm_entropy,12,0.08036671834066078,200,74540,2048,False
global,eegpt,norm_entropy,13,0.08118607695901914,200,74540,2048,False
global,eegpt,norm_entropy,14,0.07890627217303291,200,74540,2048,False
global,eegpt,norm_entropy,15,0.07824925443119674,200,74540,2048,False
global,eegpt,norm_entropy,16,0.0800345953132531,200,74540,2048,False
global,eegpt,norm_entropy,17,0.08072274503035193,200,74540,2048,False
global,eegpt,norm_entropy,18,0.07748607840286896,200,74540,2048,False
global,eegpt,norm_entropy,19,0.08212115626585263,200,74540,2048,False
global,eegpt,norm_entropy,20,0.0874447123447441,200,74540,2048,False
global,raw_eeg,dbi,3,1.494981993578822,200,74540,95,False
global,raw_eeg,dbi,4,1.166918750549646,200,74540,95,False
global,raw_eeg,dbi,5,1.0464853772313023,200,74540,95,False
global,raw_eeg,dbi,6,1.0771325335466089,200,74540,95,False
global,raw_eeg,dbi,7,0.8786436788091438,200,74540,95,False
global,raw_eeg,dbi,8,1.3361863821172582,200,74540,95,False
global,raw_eeg,dbi,9,1.3810854541932964,200,74540,95,False
global,raw_eeg,dbi,10,1.145210549530779,200,74540,95,False
global,raw_eeg,dbi,11,0.9470913386292962,200,74540,95,False
global,raw_eeg,dbi,12,0.8747942167406724,200,74540,95,False
global,raw_eeg,dbi,13,1.011305928407265,200,74540,95,False
global,raw_eeg,dbi,14,0.915092550435393,200,74540,95,False
global,raw_eeg,dbi,15,1.0033692065360122,200,74540,95,False
global,raw_eeg,dbi,16,0.8980432412705721,200,74540,95,False
global,raw_eeg,dbi,17,1.095111972713897,200,74540,95,False
global,raw_eeg,dbi,18,1.1490279498871645,200,74540,95,False
global,raw_eeg,dbi,19,0.868296530596901,200,74540,95,False
global,raw_eeg,dbi,20,0.9209018717378376,200,74540,95,False
global,raw_eeg,wcss,3,4085383.1813726025,200,74540,95,False
global,raw_eeg,wcss,4,3168774.0659869807,200,74540,95,False
global,raw_eeg,wcss,5,2778282.424834089,200,74540,95,False
global,raw_eeg,wcss,6,2554069.337835224,200,74540,95,False
global,raw_eeg,wcss,7,2225654.9668153995,200,74540,95,False
global,raw_eeg,wcss,8,2114546.555196155,200,74540,95,False
global,raw_eeg,wcss,9,2077856.3629015146,200,74540,95,False
global,raw_eeg,wcss,10,1904531.4649424532,200,74540,95,False
global,raw_eeg,wcss,11,1843276.9272283893,200,74540,95,False
global,raw_eeg,wcss,12,1757966.106636324,200,74540,95,False
global,raw_eeg,wcss,13,1759545.6832121068,200,74540,95,False
global,raw_eeg,wcss,14,1711821.832859299,200,74540,95,False
global,raw_eeg,wcss,15,1637528.9924318113,200,74540,95,False
global,raw_eeg,wcss,16,1643471.2842942378,200,74540,95,False
global,raw_eeg,wcss,17,1614545.9828740216,200,74540,95,False
global,raw_eeg,wcss,18,1635490.4566259917,200,74540,95,False
global,raw_eeg,wcss,19,1356392.932006279,200,74540,95,False
global,raw_eeg,wcss,20,1357539.9257061332,200,74540,95,False
global,raw_eeg,norm_entropy,3,0.05609338838977097,200,74540,95,False
global,raw_eeg,norm_entropy,4,0.06539079318610785,200,74540,95,False
global,raw_eeg,norm_entropy,5,0.05949658183743514,200,74540,95,False
global,raw_eeg,norm_entropy,6,0.056101958148729154,200,74540,95,False
global,raw_eeg,norm_entropy,7,0.05302716331825473,200,74540,95,False
global,raw_eeg,norm_entropy,8,0.05940249974063983,200,74540,95,False
global,raw_eeg,norm_entropy,9,0.07264224460720611,200,74540,95,False
global,raw_eeg,norm_entropy,10,0.06270975694868984,200,74540,95,False
global,raw_eeg,norm_entropy,11,0.060843215315638376,200,74540,95,False
global,raw_eeg,norm_entropy,12,0.06342338212220984,200,74540,95,False
global,raw_eeg,norm_entropy,13,0.06385136942530961,200,74540,95,False
global,raw_eeg,norm_entropy,14,0.0592954242147845,200,74540,95,False
global,raw_eeg,norm_entropy,15,0.0643121354033872,200,74540,95,False
global,raw_eeg,norm_entropy,16,0.06212639737220792,200,74540,95,False
global,raw_eeg,norm_entropy,17,0.08233410640773196,200,74540,95,False
global,raw_eeg,norm_entropy,18,0.07019000719494942,200,74540,95,False
global,raw_eeg,norm_entropy,19,0.06019745846484056,200,74540,95,False
global,raw_eeg,norm_entropy,20,0.0641071093897003,200,74540,95,False
